"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u23685",2.91,2.33,3.11,4.81,2.48,-1.21,2.14,-0.19,3.11,3.93,0.44,1.12,-3.64,2.14,-1.07,-6.36,2.23,-0.87,0.19,2.09,2.57,4.03,-3.74,1.94,2.82,4.71,5.83,3.11,4.42,4.76,3.79,6.75,1.99,3.98,1.02,4.9,0.97,1.65,0,0.58,2.28,2.52,5.49,1.02,0.44,2.62,2.48,4.9,3.59,3.79,6.41,1.6,-0.78,3.93,1.99,0.15,5.39,2.86,3.83,4.71,3.64,4.03,4.08,2.43,4.17,-0.34,6.12,-0.34,0.49,2.04,0.58,1.65,3.83,0.78,3.06,3.59,2.38,1.65,-2.57,2.57,3.35,4.42,1.89,5.29,6.55,4.32,1.12,5.63,6.84,3.5,6.41,1.12,0.97,4.76,1.12,1.17,1.12,-0.24,-6.8,5.53
"u23560",NA,-8.3,NA,NA,1.65,5.78,7.72,-5.87,NA,-5.68,7.28,-0.15,-0.29,7.33,0.73,-9.56,1.17,-9.22,0.05,-8.59,8.74,NA,NA,NA,NA,-6.7,9.03,-6.55,5.44,NA,8.98,9.32,NA,-8.45,0.1,8.06,NA,-6.55,-6.26,6.07,NA,6.55,7.72,NA,NA,-3.2,NA,7.28,0.63,2.52,NA,NA,9.08,6.46,NA,7.28,NA,NA,NA,NA,2.38,-5.73,NA,NA,-0.24,4.22,NA,-1.07,-3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32,NA,NA,NA,NA,NA,-2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.51,NA,NA,NA
"u2838",NA,NA,NA,NA,-2.28,NA,-0.24,-0.19,NA,NA,NA,-3.79,0.39,-3.59,2.77,-8.01,-3.4,2.82,-2.91,-3.59,0.29,NA,-1.65,NA,NA,NA,5.68,-1.12,4.22,NA,-0.63,-0.44,NA,NA,3.5,0.58,NA,3.93,NA,-1.75,NA,-5.05,NA,4.37,-0.87,-0.58,-1.31,-2.14,0.29,3.74,NA,NA,2.14,-2.38,NA,3.16,NA,NA,NA,NA,-2.18,2.48,NA,NA,5.68,2.18,NA,4.13,3.59,NA,NA,NA,NA,NA,NA,NA,NA,-3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53,NA,NA,NA,NA,NA,NA,NA
"u4610",-3.69,1.65,8.79,3.88,2.62,3.64,-1.94,4.71,-4.08,4.56,4.81,8.88,-4.85,1.46,-4.66,-6.46,1.46,-3.4,2.67,4.71,5.73,2.18,-4.95,2.62,7.09,7.57,8.3,7.82,7.14,5.68,3.06,7.43,9.32,4.27,-0.58,7.67,6.55,-5.49,5.24,8.25,-7.57,8.06,1.55,3.64,8.83,7.91,7.57,0.97,8.11,8.06,2.38,1.41,7.04,7.67,0.68,7.77,-4.37,-8.45,0.49,-1.75,8.69,-2.48,-1.31,6.8,8.69,8.88,-3.54,5.29,8.64,2.57,-4.32,2.96,5.1,-4.47,1.99,2.04,3.74,4.76,-1.5,-1.7,-1.26,-1.26,-6.17,3.83,-4.76,-8.25,-5.15,5.44,4.81,5.05,2.09,5.49,4.47,-1.36,-6.21,-7.04,6.8,6.99,3.16,5.49
"u4537",NA,NA,NA,NA,-8.2,-7.18,4.17,-4.71,-8.59,-5.83,2.09,-5,1.46,-5.63,4.56,1.36,-5.29,8.25,1.65,2.04,-3.79,2.18,1.7,-7.62,-7.57,7.43,8.88,5.34,-0.63,-6.12,4.17,1.07,5.15,6.5,7.43,7.23,-4.71,1.31,1.5,-8.83,-0.34,6.26,-7.18,4.66,3.11,4.22,-3.54,-5.97,3.45,6.8,-7.18,-4.71,-1.21,-8.11,-6.17,4.81,2.14,NA,3.79,2.33,8.54,-3.3,6.12,-8.64,-9.03,4.13,-8.64,6.89,5.49,-5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.89,NA,NA,NA,NA,2.72,NA,NA,NA,NA,NA,NA,NA,NA
"u11047",-8.83,-9.85,-0.05,-6.89,-5,5.1,-2.18,-4.95,-1.17,-2.09,-3.64,-0.68,-9.76,-4.51,-8.83,-8.4,-0.39,-4.61,-0.39,0.87,1.07,-3.74,0.83,0.97,-0.49,0.24,-0.44,4.03,3.11,2.18,-7.62,2.62,-2.09,1.12,0.05,-2.57,4.13,-3.5,-1.46,-0.39,-8.79,1.94,-5.58,-2.62,3.3,-3.98,1.02,-2.52,-0.24,0.97,-7.86,-2.86,0.73,5,1.99,-0.44,-8.35,-4.66,-2.09,-6.26,-0.49,4.76,5.53,-6.7,1.36,2.67,-2.67,8.54,1.46,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,2.14,-2.91,-1.46,1.12,-0.58,0.24,0.78,-2.67,-6.07,1.6,5.58,0.1,0.15,-3.93,0.1,-4.76,-4.76,0.78,1.17,0.49,1.84,-3.69
"u4948",NA,NA,NA,NA,1.36,3.3,-3.2,0.53,NA,NA,NA,6.5,0.83,NA,1.36,0.44,-0.44,2.18,3.16,-3.5,6.65,NA,NA,NA,NA,NA,6.36,6.17,7.91,NA,5.19,0.87,NA,NA,5.73,7.28,NA,6.26,7.62,NA,NA,4.42,NA,NA,NA,5.05,NA,7.43,6.7,7.57,NA,NA,5.87,6.36,NA,5.19,NA,NA,NA,NA,1.84,-4.08,NA,NA,NA,6.5,NA,1.21,7.28,6.26,NA,NA,NA,NA,NA,NA,NA,NA,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u23643",-7.62,-5.39,-7.62,-7.14,-6.89,-4.85,-2.14,-3.01,-6.36,-7.52,-6.94,-5.63,-7.82,-5.1,-3.5,-4.9,-4.9,-1.5,-0.53,-3.16,-4.37,-4.81,-6.26,-7.18,-4.56,-5.34,-8.83,-6.65,-3.5,-6.6,-5.58,2.91,-8.16,-5.92,-3.4,-3.01,-4.85,-5.29,-6.5,-5.24,-5.15,-3.59,-7.04,-6.84,-4.27,-4.66,-5.19,-8.93,-5.44,-2.33,-7.86,-7.28,-2.57,-2.14,-6.8,-4.81,-7.38,-7.86,-7.62,-7.04,-7.48,-0.73,-6.7,-7.43,-0.39,-1.5,-6.89,-5.1,-0.53,-5.87,NA,NA,NA,NA,NA,NA,-6.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.39,NA,NA,NA,NA,NA,NA
"u2413",NA,NA,NA,-3.5,7.57,2.72,7.62,-1.07,NA,1.46,5.83,7.14,-1.31,9.08,-4.42,-9.66,5,3.06,5.53,7.14,5.19,3.45,0.19,NA,5.49,7.57,7.57,6.41,9.17,2.86,6.89,9.27,1.55,7.77,8.35,2.04,NA,4.71,8.4,5.97,1.84,7.43,NA,NA,3.16,5.68,4.56,3.88,4.37,9.17,6.65,6.12,8.98,8.35,-1.7,7.18,NA,-9.32,-1.84,NA,4.17,2.09,2.48,-2.33,9.13,7.04,NA,8.11,4.61,2.48,NA,NA,NA,NA,NA,NA,NA,NA,7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u20013",2.09,-5.87,1.26,-3.54,6.41,2.72,1.36,-6.84,-2.62,2.86,-2.96,5.73,1.46,-0.53,-7.48,-7.28,-2.82,-6.7,-6.65,-6.17,-2.91,4.22,-0.05,-2.09,-3.88,-2.38,2.04,-2.23,-0.92,-3.5,2.82,6.89,0.63,-0.19,6.36,4.17,-6.17,-6.65,-3.54,0.63,-4.37,0.97,-0.53,-7.43,5.05,6.31,1.17,-0.34,-1.26,6.65,5.92,-7.23,6.5,6.75,-1.36,-2.96,-9.08,-8.64,-1.89,-1.89,5.39,7.04,3.2,-3.45,4.95,1.94,2.28,1.89,3.4,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,3.83,7.04,-3.69,6.94
"u2452",NA,NA,NA,NA,7.62,NA,8.83,-0.68,NA,NA,NA,4.71,-9.61,NA,-4.47,4.51,8.5,3.06,8.79,9.08,3.5,NA,NA,NA,-8.16,7.96,-1.65,7.43,8.93,NA,-9.08,8.98,NA,0.19,1.31,1.36,NA,NA,NA,-1.02,NA,8.54,NA,8.54,NA,3.59,NA,7.48,6.36,9.03,NA,NA,7.14,9.03,NA,-6.26,NA,NA,NA,NA,8.35,7.57,NA,NA,-7.72,-0.24,NA,8.83,-7.86,NA,NA,8.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88,NA,NA,3.98,NA,NA,NA,NA,NA,NA,NA,NA
"u23585",2.77,4.81,1.7,2.09,-5.92,1.46,-4.32,1.75,-0.44,1.02,5.29,2.96,1.21,5.19,-4.71,-3.74,0,-5.53,-2.77,-6.21,3.45,5.29,0.97,0.44,4.27,1.5,4.56,-0.92,8.54,1.21,4.22,9.03,1.65,6.6,3.11,5.92,2.57,2.38,3.5,5.29,7.43,-6.89,4.51,-1.94,6.6,3.93,2.52,2.96,2.48,1.99,1.36,7.04,2.67,6.46,0.58,1.65,-1.65,-5.05,9.03,5.15,4.27,3.16,7.72,2.38,4.71,5.29,5.58,-1.89,3.01,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,1.5,-1.55,NA,NA,0.15,5.92
"u131",-9.56,8.74,-8.74,-7.86,-1.46,9.03,4.13,6.99,-2.04,-2.52,0.92,8.83,-1.31,8.45,-5.53,6.89,4.08,-9.61,-9.42,8.98,6.8,2.43,7.48,-5.63,-7.52,7.67,3.88,8.16,9.08,-5.15,9.27,-3.2,-7.86,7.48,-4.61,5.49,-9.17,-1.07,-7.67,1.7,-7.86,6.89,1.8,-7.86,-2.57,7.67,8.2,5.49,6.75,9.17,4.9,8.79,9.17,8.5,3.88,6.94,7.67,-7.33,9.27,9.32,8.79,7.09,-0.58,9.08,-0.1,4.51,3.45,2.86,8.5,1.21,9.13,9.03,4.9,2.52,-8.11,9.27,-1.31,5.24,5.92,6.31,8.59,1.75,-0.44,-0.44,6.55,8.79,1.55,-0.53,9.27,9.37,-3.64,-7.38,5.53,6.41,5.34,0.73,4.76,-3.25,5.24,8.79
"u12079",NA,NA,NA,NA,8.74,-1.7,8.45,8.4,NA,8.79,3.01,4.56,-5.34,3.69,-9.76,-9.71,4.85,8.93,-6.26,4.66,NA,6.94,NA,NA,3.83,-9.85,4.9,7.23,3.79,-9.37,NA,-5.24,NA,NA,6.26,-7.28,NA,7.67,NA,8.35,3.59,3.01,NA,NA,NA,NA,NA,-9.56,-9.71,3.3,-8.64,NA,0.15,NA,NA,NA,-8.83,-9.03,NA,NA,NA,NA,-9.66,NA,7.77,7.38,NA,-9.61,-9.81,NA,NA,NA,-9.56,-9.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u23911",NA,NA,NA,NA,2.09,NA,-4.56,5.68,NA,NA,NA,5.97,4.42,NA,4.61,1.89,4.37,0.78,0.53,4.27,6.5,5.19,NA,NA,NA,1.55,2.96,2.72,2.77,NA,5,3.79,NA,3.83,-5.92,4.22,NA,4.61,-4.13,4.51,NA,5.34,NA,NA,NA,5.29,NA,1.36,3.25,3.06,NA,NA,2.04,6.31,NA,3.98,NA,NA,NA,NA,4.71,5.15,NA,NA,4.27,3.64,NA,3.88,3.45,NA,NA,NA,NA,NA,-0.24,NA,NA,NA,NA,NA,NA,NA,-2.09,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u24823",NA,NA,NA,NA,-4.76,NA,-9.42,-3.01,NA,NA,NA,NA,3.01,NA,-9.42,-9.81,4.17,-0.29,-0.29,-9.61,7.48,NA,-6.31,NA,NA,-0.29,-4.56,-9.42,7.28,NA,4.17,5.73,NA,-0.29,3.2,2.82,NA,2.82,2.82,NA,NA,-5.34,NA,NA,-0.87,3.01,-1.65,-2.43,2.04,5.73,NA,NA,3.79,-0.29,NA,-9.42,NA,NA,NA,NA,-2.04,-9.42,NA,NA,4.56,1.07,NA,-3.2,2.04,NA,NA,NA,NA,NA,5.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u8335",4.9,3.16,-0.83,-0.44,0.87,-1.17,-1.31,8.74,0.53,-0.97,-0.1,0.44,8.35,0.15,1.5,1.02,8.5,8.93,-0.63,-1.12,0,0.1,-1.17,-1.02,-0.24,-0.15,-1.5,0.24,-0.53,-1.17,-0.15,-1.89,-0.92,-0.15,-1.36,-1.21,1.8,-8.88,-0.24,0.29,-1.17,0.53,-0.83,8.45,-0.05,-0.15,-1.02,0.34,-1.26,-1.75,-1.12,-1.17,-0.44,-0.29,-1.12,-1.75,-0.49,-9.42,-1.12,8.25,0.05,-0.92,0.19,8.5,-0.15,-0.58,-0.92,-1.26,-1.41,-0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7402",1.46,5.73,-6.12,-9.81,1.17,2.14,7.52,-9.85,-8.83,2.96,2.91,0.92,1.12,7.38,2.38,-3.35,-4.03,2.91,2.28,3.06,0.73,6.12,3.74,-1.7,3.79,1.6,4.42,-3.5,4.27,-9.56,5.53,-4.03,-9.71,5.83,6.89,3.93,6.41,6.26,-0.49,-3.88,-0.73,6.7,-9.37,4.95,3.83,1.84,2.82,5,-1.26,3.98,2.72,4.27,-9.32,4.51,1.84,3.79,5.19,-9.71,-5.63,-9.71,6.17,0.87,-4.61,3.45,5.87,8.01,-3.88,-0.83,5,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u23931",-1.55,-0.63,5.63,3.25,5.83,8.5,-2.96,4.13,-4.13,2.04,8.98,7.33,-3.3,7.23,-3.5,2.57,-0.83,-1.21,1.17,-2.77,6.94,-2.62,0.97,-5.58,3.54,7.57,7.33,6.46,8.11,1.65,7.48,7.52,-0.29,9.03,7.33,1.41,-4.17,3.64,7.23,6.21,1.84,6.41,-3.25,-3.79,8.01,1.84,6.8,3.35,0,8.06,4.32,1.5,8.54,7.62,-1.55,6.5,-5.68,-7.77,-2.52,-2.91,-2.18,1.89,0.87,6.75,3.93,3.11,-6.31,5.24,5,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59,NA,NA,NA,7.18,-7.77,3.54,-5.05,3.11
"u22417",1.31,-4.32,-0.24,-0.05,7.33,-0.39,7.62,1.21,-6.99,4.22,-0.49,3.59,-2.52,6.8,-4.22,-6.8,-5.63,-8.25,-6.41,6.65,7.86,-3.64,5.97,1.94,-0.49,7.18,1.65,8.5,7.18,4.27,1.89,7.48,-0.24,8.25,8.93,-0.34,-7.28,-2.14,2.09,-1.55,-1.94,7.52,5.92,-6.12,-3.25,1.46,7.52,7.18,6.99,1.55,7.33,2.62,7.09,7.43,4.13,-3.11,-9.76,-9.37,2.48,1.84,2.91,8.25,8.2,6.21,6.99,6.89,-5.73,7.91,1.99,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u297",-7.57,-7.96,7.14,-6.5,7.48,6.12,-6.02,0,-6.5,1.75,6.31,-2.77,5.39,-0.68,-3.69,-8.64,-0.83,-3.5,-3.4,-3.98,-1.12,6.5,-4.47,-6.7,0.05,-2.23,7.96,7.18,-0.92,6.94,7.86,6.99,-7.14,-0.63,-1.36,-6.94,-7.38,6.5,5.73,6.07,-6.89,-1.12,-3.35,-6.26,-3.35,6.55,6.75,-3.54,-0.53,-0.83,7.09,6.6,7.43,6.46,-7.28,-4.03,-7.38,-7.57,-7.52,-4.22,6.17,5.92,-1.07,5.83,-7.96,-0.39,-7.72,5.49,6.31,-6.99,NA,NA,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u2407",-2.38,-0.58,-2.33,-8.69,-9.85,-4.81,9.27,-9.81,5.24,-9.85,0.78,9.27,-9.85,0.73,-0.49,-5.29,-9.85,-9.76,-9.32,1.94,-0.44,-7.57,2.52,0.44,0.49,1.5,7.96,-0.1,-0.49,-2.33,8.98,2.23,-9.47,-2.38,0.53,9.17,-9.61,9.08,1.21,-0.68,1.26,2.57,-2.38,-4.17,0.73,0.49,6.55,9.32,-1.17,2.33,3.64,-2.72,9.32,0.39,3.54,2.57,-9.95,-9.95,-9.47,-4.47,-9.9,-4.61,-6.41,3.93,-4.32,-1.21,0.83,9.17,0.24,-2.72,-9.76,9.32,-9.76,-9.76,-9.85,7.57,-9.81,-9.76,-5.05,-9.27,9.27,-2.72,-9.76,-9.76,-9.76,-9.81,-9.13,-9.13,9.22,-9.13,-8.98,-9.51,-9.66,-9.71,-3.06,-9.71,-7.23,-9.76,-8.5,3.11
"u13123",1.17,0.39,4.42,7.67,1.41,6.41,1.65,3.98,4.27,4.17,5.29,7.52,4.22,5.78,6.17,-0.15,3.98,3.3,3.45,3.93,4.85,6.65,5.34,4.13,7.14,4.22,4.42,5.97,5.49,7.91,5.19,7.38,4.17,7.67,6.89,5.78,4.56,7.43,7.67,6.94,8.2,7.38,3.2,-3.01,5.29,7.52,6.46,7.14,7.52,5,5.87,6.41,5.24,7.67,4.08,4.42,0.73,-4.9,1.07,4.13,4.13,5.49,7.77,4.13,7.33,-1.41,6.7,4.56,3.54,5.73,7.28,6.02,4.61,2.04,7.72,4.22,2.82,6.89,7.57,2.52,3.11,-0.73,2.91,-0.53,5.63,5.49,6.5,4.17,6.8,4.76,4.03,4.03,0.49,4.56,-4.37,6.31,6.36,6.5,4.85,4.47
"u15052",2.33,7.28,1.46,-2.43,2.33,4.32,2.18,2.48,4.27,3.01,0.24,-0.34,-3.5,0.34,2.23,-7.86,1.31,-1.36,-3.59,2.57,-0.1,-1.89,2.28,4.08,3.35,-0.24,3.54,1.84,-2.48,0.44,2.62,-1.17,0.15,-2.38,1.7,2.23,5.1,-7.82,2.33,0.97,-4.22,0.63,3.35,-2.18,4.71,2.09,-2.72,1.26,1.41,3.11,-3.93,-0.92,2.28,-2.43,2.33,1.26,2.62,-4.95,-2.82,3.16,1.31,1.65,2.72,1.65,0.39,-3.54,2.96,2.04,0.92,-3.83,NA,-1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.45,NA,NA,NA,NA,NA,NA,NA,2.33,2.28,1.07,-0.29
"u19244",-4.66,-8.88,0.73,0.1,6.5,8.2,-0.39,-8.93,1.41,-9.17,-8.93,8.16,3.88,8.35,0.29,-0.29,7.72,4.03,3.16,7.09,6.36,-9.17,2.77,-9.22,7.77,7.18,6.7,0.39,5.39,7.77,3.59,7.23,-8.69,8.88,7.09,3.25,-8.64,-9.13,4.13,4.37,-0.15,6.02,7.48,-3.01,6.5,-9.17,1.99,5.53,5.44,7.82,7.23,-8.88,7.82,8.16,7.62,8.4,1.7,-0.78,-9.22,-9.42,6.36,6.89,8.06,-8.83,6.17,7.57,7.33,7.43,3.88,1.12,NA,NA,NA,NA,NA,NA,NA,NA,7.82,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u11676",-9.61,9.03,-9.37,-9.47,-9.47,-8.98,-9.85,-7.04,-1.5,-9.03,-9.42,-9.27,0.92,-9.37,2.48,3.45,-4.56,7.18,7.86,-0.34,-9.56,-9.08,-9.08,-9.61,-9.51,-9.47,7.28,-9.56,-9.81,-9.37,-9.56,8.93,-9.47,-0.34,-7.72,5.92,-9.56,-9.27,-9.22,-9.27,-9.42,3.45,-9.27,-9.47,-9.37,-8.2,-9.37,-9.27,-9.51,8.79,-9.47,-9.27,4.51,0,-9.51,-9.22,-0.63,-9.47,-0.44,-9.37,-9.71,-6.46,-9.71,-9.47,-9.76,-9.22,8.93,-9.51,-1.41,-9.37,NA,NA,NA,NA,NA,NA,NA,8.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.66,NA,-9.95,-9.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u19571",7.43,8.98,3.06,9.13,7.09,4.76,8.35,1.26,3.11,1.75,4.51,9.27,-0.78,8.88,5.19,1.55,-0.87,1.7,7.67,3.4,8.93,9.27,4.61,3.06,1.41,9.32,9.22,0.87,5.58,-0.24,8.2,9.17,-9.37,9.22,5.78,5.1,1.07,-8.59,3.83,5.73,5.15,9.17,7.62,5.15,6.02,7.96,3.69,3.59,9.17,4.71,4.51,9.13,5.87,6.8,6.99,9.13,-1.07,-5.87,3.59,-0.19,1.6,4.71,8.64,-0.15,9.32,5.53,5.15,5.19,9.03,5.92,NA,NA,NA,NA,NA,NA,5.24,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u23951",2.62,-0.68,-1.26,-0.87,-7.86,1.46,-3.98,-3.79,-0.87,5.73,-0.29,2.43,2.23,-0.29,-5.92,-8.06,-3.79,-0.29,-0.29,-4.95,3.01,-0.29,-0.29,-0.29,2.62,4.17,6.12,-0.29,5.92,-0.29,2.23,4.37,-0.29,-0.29,1.65,2.23,-0.68,-3.4,-0.29,0.49,2.62,1.26,0.87,2.82,0.29,3.4,3.4,-0.29,2.04,2.23,-0.29,-0.29,-0.29,2.82,0.29,0.1,-0.29,-0.29,0.29,-0.29,2.62,2.62,-0.29,-0.68,-0.29,0.87,-0.29,2.43,-0.29,5.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,NA,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04
"u22489",NA,NA,NA,NA,6.17,NA,5.78,-6.84,NA,NA,-7.72,6.8,-4.71,5.97,-7.91,-6.36,6.99,-7.52,-6.55,-6.8,7.48,NA,NA,NA,NA,6.26,5.87,-6.94,-8.69,NA,7.23,7.62,NA,7.18,-8.16,6.55,NA,-6.89,7.77,7.91,NA,-8.25,NA,NA,NA,6.6,NA,-7.38,-7.52,6.55,NA,NA,7.14,8.11,NA,-7.48,NA,NA,NA,NA,6.17,-6.5,NA,NA,-7.72,-8.3,NA,-6.46,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.94,NA,4.9,NA,NA,NA,NA,NA,7.28,NA,NA,NA,-6.36,NA,NA,NA,NA
"u6584",1.6,6.94,1.6,0.34,-3.59,2.23,-4.85,2.14,0.34,5.49,5.49,5.49,-3.59,2.67,-3.59,-3.59,2.14,-3.59,-4.85,-4.85,5.83,5.49,1.94,0.34,5.49,4.37,1.84,1.94,3.2,1.6,4.03,-0.24,0.87,5.49,3.79,6.6,0.34,5.49,5.49,5.49,1.6,4.37,8.01,0.34,5.49,0.44,2.23,3.69,-0.24,6.02,2.14,1.94,3.5,4.81,2.14,4.03,-6.84,0.34,1.6,0.87,4.81,7.18,2.14,0.87,7.62,-0.24,1.6,5.83,-0.24,5.49,NA,NA,NA,NA,NA,-4.85,NA,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u2395",5.63,4.76,5.29,5.15,-2.09,4.95,-2.09,-6.31,4.76,5.39,5.05,5.49,-1.46,5.05,-2.14,-2.18,3.16,-3.93,-1.65,-2.04,7.43,5.05,4.42,4.95,5.44,5.44,4.32,5.58,1.31,5.68,5.92,5.19,4.61,4.9,2.52,6.26,5.24,0.19,5.24,5.1,5.92,5.39,-4.51,0.29,4.61,4.61,5.34,6.07,6.36,2.09,6.65,4.95,5.53,5.58,4.32,5.83,-1.7,-1.36,1.89,5.92,5.83,6.07,4.37,0.78,5.87,5,5.87,6.5,3.25,5.44,2.18,3.69,3.54,-2.57,3.25,3.11,2.67,2.48,2.86,3.3,3.74,1.07,4.56,2.96,3.06,1.41,3.88,2.14,3.93,-0.24,-0.58,0.49,-0.29,4.42,0.49,-0.78,0,5.1,1.8,5.15
"u1591",-5.68,-3.83,0.39,-5.68,2.52,-1.8,-7.91,-6.17,-6.5,-2.04,3.16,-1.5,0.68,-2.91,-5.97,-5.73,-6.89,-7.86,1.36,-3.83,2.43,-4.17,-3.59,0.49,-6.8,-2.86,-4.85,-4.27,5.83,-4.17,3.35,-4.51,-0.15,-4.32,-7.18,-4.66,-5.53,-3.88,-4.32,-4.13,-1.84,-4.27,-2.14,-6.31,-2.14,1.21,-4.17,-1.07,0.34,-4.42,-1.94,-3.69,-4.47,0.49,-2.04,-3.64,-6.31,-6.31,-5.78,-6.89,3.45,-3.69,-4.66,1.12,1.36,1.17,-1.8,-4.27,-3.79,-4.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,-6.46,-1.94,-4.17,-4.66,-4.37,-4.37,-4.42,-4.17,-4.47,-6.8,-3.83,-4.17,-1.41,-6.12,-6.17,0.24,0.15,0.24,0.15
"u4541",0.44,2.91,6.46,5.1,7.91,4.22,3.25,1.12,1.94,3.54,6.12,7.04,-3.79,7.14,-2.38,-7.72,3.98,0.15,6.07,8.88,7.14,5.19,1.7,0.68,0.39,7.77,5.63,6.5,6.6,3.98,8.64,6.65,2.23,6.12,6.36,6.75,2.38,5.34,7.52,6.46,4.9,9.03,7.77,-6.41,4.85,7.38,5.34,5.53,8.88,6.65,6.46,6.6,9.17,8.93,5.87,6.84,-3.74,-3.74,6.07,6.41,5.15,7.14,3.16,4.51,6.84,6.36,7.04,8.3,6.89,2.91,-6.21,5.44,3.06,4.32,2.18,2.38,-0.19,6.6,5.39,0.78,6.41,3.64,4.08,5.1,4.56,1.21,0.05,6.65,9.17,2.67,4.42,2.72,6.94,6.17,0.53,2.28,2.14,7.33,1.75,2.33
